N.,POKÉMON,SOURCE,SPAWN,RARITY,CONDITION,FORMS
#230,Kingdra,Cobblemon,"Lukewarm Ocean, Deep Lukewarm Ocean, Warm Ocean",Common,Also by fishing in all Ocean biomes,
#231,Phanpy,Cobblemon,"Badlands, Savanna",Common,Day,
#232,Donphan,Cobblemon,"Badlands, Savanna",Common,Day,
#233,Porygon2,Cobblemon,The End,Uncommon,,
#234,Stantler,Cobblemon,"Snowy Plains, Snowy Taiga, Ice Spikes",Common,,
#235,Smeargle,Cobblemon,All Overworld biomes,Rare,Day,
#236,Tyrogue,Cobblemon,"Windswept Hills, Windswept Gravelly Hills, Meadow",Uncommon,Day,
#237,Hitmontop,Cobblemon,"Windswept Hills, Windswept Gravelly Hills, Meadowomes",Uncommon,,
#238,Smoochum,Cobblemon,"Frozen River, Jagged Peaks, Snowy Beach,
Snowy Plains, Snowy Slopes",Uncommon,Day,
#239,Elekid,Cobblemon,"Windswept Hills,
Windswept Gravelly Hills,
Windswept Forest,
Meadow, Plains, Sunflower Plains",Uncommon,Storm,
#240,Magby,Cobblemon,"Windswept Hills,
Windswept Gravelly Hills,
Windswept Forest, Basalt Deltas, Nether Wastes",Common,Near Lava,
#241,Miltank,Cobblemon,"Plains, Sunflower Plains, Meadow, Savanna",Common,,Red Mooshtank spawns ins Mushroom Fields
#242,Blissey,Cobblemon,All Overworld biomes,Rare,,
#243,Raikou,ATM x MSD,Birch Forest,Rare,"Structure: Burned Tower
(COBBLEVERSE)",More common during thunderstorm
#244,Entei,Mega Showdown,Birch Forest,Rare,"Structure: Burned Tower
(COBBLEVERSE)",More common in the daytime
#245,Suicune,ATM x MSD,Birch Forest,Rare,"Structure: Burned Tower
(COBBLEVERSE)",More common during rain
#246,Larvitar,Cobblemon,"Windswept Hills, Meadow, Jagged Peaks, Stony Peaks",Rare,,
#247,Pupitar,Cobblemon,"Windswept Hills, Meadow, Stony Peaks",Rare,,
#248,Tyranitar,Cobblemon,"Windswept Hills, Meadow, Stony Peaks",Rare,,
#249,Lugia,Mega Showdonw,Deep Cold Ocean,Ultra-Rare,"Structure: Whirl Island
(COBBLEVERSE)",Shadow Lugia (ATM x MSD) can be obtained by crafting the Shadow Soul Stone
#250,Ho-Oh,Mega Showdown,Oak Forest,Ultra-Rare,"Structure:
Bell Tower
(COBBLEVERSE)",
#251,Celebi,MysticMons,Taiga,Ultra-Rare,"Structure: Ilex Shrine
(COBBLEVERSE)",
#252,Treecko,Cobblemon,Jungle,Ultra-Rare,,
#253,Grovyle,Cobblemon,Jungle,Ultra-Rare,,
#254,Sceptile,Cobblemon,Jungle,Ultra-Rare,,
#255,Torchic,Cobblemon,Plains,Ultra-Rare,,
#256,Combusken,Cobblemon,Plains,Ultra-Rare,,
#257,Blaziken,Cobblemon,Plains,Ultra-Rare,,
#258,Mudkip,Cobblemon,"Swamp, Mangroove Swamp (Raining), Lush Caves",Ultra-Rare,"Also by fishing: Jungle, Badlands, Savanna, Flower Forest, Dark Forest, Mushroom Fields",
#259,Marshtomp,Cobblemon,"Swamp, Mangroove Swamp (Raining), Lush Caves",Ultra-Rare,"Also by fishing: Jungle, Badlands, Savanna, Flower Forest, Dark Forest, Mushroom Fields",
#260,Swampert,Cobblemon,"Swamp, Mangroove Swamp (Raining), Lush Caves",Ultra-Rare,"Also by fishing: Jungle, Badlands, Savanna, Flower Forest, Dark Forest, Mushroom Fields",
#261,Poochyena,Cobblemon,"Badlands, Savanna",Common,Night,
#262,Mightyena,Cobblemon,"Badlands, Savanna",Common,Night,
#263,Zigzagoon,Cobblemon,"All Forest biomes, All Plains biomes",Common,,"Galarian form spawns in
Taiga biomes"
#264,Linoone,Cobblemon,"Oak Forest, Birch Forest, Dark Forest, Plains, Sunflower Plains, Snowy Plains",Common,,Galarian form spawns in Taiga biomes
#265,Wurmple,COBBLEVERSE,"Oak Forest, Birch Forest, Dark Forest, Jungle",Common,,
#266,Silcoon,COBBLEVERSE,"Oak Forest, Birch Forest, Dark Forest, Jungle",Uncommon,,
#267,Beautifly,COBBLEVERSE,"Oak Forest, Birch Forest, Dark Forest, Jungle, Cherry Grove, Flower Forest, Meadow
Sunflower Plains",Uncommon,"Day, Weather clear",
#268,Cascoon,COBBLEVERSE,"Oak Forest, Birch Forest, Dark Forest, Jungle",Uncommon,,
#269,Dustox,COBBLEVERSE,"Oak Forest, Birch Forest, Dark Forest",Uncommon,,
#270,Lotad,Cobblemon,"Swamp, Mangrove Swamp (Raining)",Common,"Also by fishing in: Oak Forest, Birch Forest, Dark Forest, Jungle, Bamboo Jungle, Sparse Jungle",
#271,Lombre,Cobblemon,"Swamp, Mangrove Swamp (Raining)",Common,"Also by fishing in: Oak Forest, Birch Forest, Dark Forest, Jungle, Bamboo Jungle, Sparse Jungle",
#272,Ludicolo,Cobblemon,"Swamp, Mangrove Swamp (Raining)",Common,"Also by fishing in: Oak Forest, Birch Forest, Dark Forest, Jungle, Bamboo Jungle, Sparse Junglea (Raining)",
#273,Seedot,Cobblemon,"Oak Forest, Birch Forest, Dark Forest",Common,,
#274,Nuzleaf,Cobblemon,"Oak Forest, Birch Forest, Dark Forest",Common,,
#275,Shiftry,Cobblemon,"Oak Forest, Birch Forest, Dark Forest",Common,,
#276,Taillow,Cobblemon,"Oak Forest, Birch Forest, Dark Forest, Plains, Meadow",Common,Day,
#277,Swellow,Cobblemon,"Oak Forest, Birch Forest, Dark Forest, Plains, Meadow",Common,Day,
#278,Wingull,Cobblemon,"Stony Shore, Ocean, Deep Ocean, Warm Ocean",Common,Day,
#279,Pelipper,Cobblemon,"Stony Shore, Ocean, Deep Ocean, Warm Ocean",Common,Day,
#280,Ralts,Cobblemon,"Flower Forest, Sunflower Plains, Cherry Grove, Dark Forest, Snowy Taiga, Grove",Rare,"More Common in
Mansion structure",
#281,Kirlia,Cobblemon,"Sunflower Plains, Meadow, Flower Forest, Cherry Grove,
Dark Forest, Snowy Taiga, Grove",Rare,"More Common in
Mansion structure",
#282,Gardevoir,Cobblemon,"Sunflower Plains, Meadow, Flower Forest, Cherry Grove, Dark Forest, Snowy Taiga, Grove",Rare,"More Common in
Mansion structure",
#283,Surskit,Cobblemon,River,Uncommon,Weather Clear,
#284,Masquerain,Cobblemon,River,Uncommon,Weather Clear,
#285,Shroomish,Cobblemon,"Mushroom Fields, Oak Forest, Birch Forest, Dark Forest",Common,,
#286,Breloom,Cobblemon,"Mushroom Fields, Oak Forest, Birch Forest, Dark Forest",Common,,
#287,Slakoth,Cobblemon,"Jungle, Bamboo Jungle, Sparse Jungle",Common,,
#288,Vigoroth,Cobblemon,"Jungle, Bamboo Jungle, Sparse Jungle",Common,,
#289,Slaking,Cobblemon,"Jungle, Bamboo Jungle, Sparse Jungle",Common,,
#290,Nincada,Cobblemon,"Oak Forest, Birch Forest, Dark Forest, Jungle, Bamboo Jungle, Sparse Jungle",Common,"MinY=32
MaxY=62",
#291,Ninjask,Cobblemon,"Oak Forest, Birch Forest, Dark Forest, Jungle, Bamboo Jungle, Sparse Jungle",Common,"Day, Weather Clear",
#292,Shedinja,Cobblemon,"Oak Forest, Birch Forest, Dark Forest, Jungle, Bamboo Jungle, Sparse Jungle",Common,"Night, Weather Clear",
#293,Whismur,Cobblemon,Deep Dark,Uncommon,,
#294,Loudred,Cobblemon,Deep Dark,Uncommon,,
#295,Exploud,Cobblemon,Deep Dark,Uncommon,,
#296,Makuhita,Cobblemon,"Meadow, Grove, Snowy Slopes,
Jagged Peaks, Frozen Peaks, Stony Peaks, Windswept Hills",Common,,
#297,Hariyama,Cobblemon,"Meadow, Grove, Snowy Slopes,
Jagged Peaks, Frozen Peaks, Stony Peaks, Windswept Hills",Common,,
#298,Azurill,ATM x MSD,River,Uncommon,Day,
#299,Nosepass,Cobblemon,All Overworld biomes except Deep Dark,Uncommon,Caves/Night,
#300,Skitty,ATM x MSD,"Desert, Badlands, Savanna, Savanna Plateau,
Cherry Grove",Common,Night,
#301,Delcatty,ATM x MSD,"Desert, Badlands, Savanna, Savanna Plateau,
Cherry Grove",Common,Night,
#302,Sableye,Cobblemon,Deep Dark,Rare,,
#303,Mawile,Cobblemon,Deep Dark,Uncommon,,
#304,Aron,"Hydro
Reanimodel","Jagged Peaks, Frozen Peaks, Stony Peaks, Snowy Slopes, Meadow, Grove,Windswept Hills",Common,,
#305,Lairon,"Hydro
Reanimodel","Jagged Peaks, Frozen Peaks, Stony Peaks, Snowy Slopes, Meadow, Grove,Windswept Hills",Common,,
#306,Aggron,"Hydro
Reanimodel","Jagged Peaks, Frozen Peaks, Stony Peaks, Snowy Slopes, Meadow, Grove, Windswept Hills",Common,,
#307,Meditite,Mega Showdown,"Frozen Peaks, Snowy Plains, Stony Peaks, Jagged Peaks",Common,,
#308,Medicham,Mega Showdown,"Frozen Peaks, Snowy Plains, Stony Peaks, Jagged Peaks",Common,,
#309,Electrike,Mega Showdown,"Plains, Sunflower Plains, Savanna, Savanna Plateau, Windswept Hills",Common,Storm,
#310,Manectric,Mega Showdown,"Plains, Sunflower Plains, Savanna, Savanna Plateau, Windswept Hills",Common,Storm,
#311,Plusle,Cobblemon,"Plains, Sunflower Plains",Uncommon,Storm,
#312,Minun,Cobblemon,"Plains, Sunflower Plains",Uncommon,Storm,
#313,Volbeat,Cobblemon,"River, Swamp, Mangrove Swamp, Lush Caves",Common,"Night, Weather clear",
#314,Illumise,Cobblemon,"River, Swamp, Mangrove Swamp, Lush Caves",Common,"Night, Weather clear",
#315,Roselia,Cobblemon,"Cherry Grove, Flower Forest, Meadow, Sunflower Plains",Common,,
#316,Gulpin,ATM x MSD,"Mangrove Swamp, Swamp",Common,,
#317,Swalot,ATM x MSD,"Mangrove Swamp, Swamp",Uncommon,,
#318,Carvanha,Cobblemon,"Swamp, Mangrove Swamp, All Ocean biomes",Common,"Also by fishing in: Jungle, Swamp, Mangrove Swamp",
#319,Sharpedo,Cobblemon,All Ocean biomes,Common,Also by fishing,
#320,Wailmer,Cobblemon,"Deep Ocean, Deep Frozen Ocean, Deep Lukewarm Ocean",Uncommon,Also by fishing in All Ocean Biomes (Ultra-Rare),
#321,Wailord,Cobblemon,"Deep Ocean, Deep Frozen Ocean, Deep Lukewarm Ocean",Uncommon,Also by fishing in All Ocean Biomes (Ultra-Rare),
#322,Numel,Cobblemon,"Badlands, Nether Wastes",Common,,
#323,Camerupt,Cobblemon,"Badlands, Nether Wastes",Common,,
#324,Torkoal,Cobblemon,"Jagged Peaks, Stony Peaks, Meadow, Basalt Deltas",Common,,
#325,Spoink,Cobblemon,"Windswept Hills, Windswept Gravelly Hills, Warped Forest, Crimson Forest",Uncommon,,
#326,Grumpig,Cobblemon,"Windswept Hills, Windswept Gravelly Hills, Warped Forest, Crimson Forest",Uncommon,,
#327,Spinda,Cobblemon,"Windswept Hills, Windswept Gravelly Hills, Bamboo Jungle",Uncommon,,
#328,Trapinch,Cobblemon,Desert,Rare,Rain,
#329,Vibrava,Cobblemon,Desert,Rare,Rain,
#330,Flygon,Cobblemon,Desert,Rare,Rain,
#331,Cacnea,Cobblemon,"Desert, Badlands",Common,,
#332,Cacturne,Cobblemon,"Desert, Badlands",Common,,
#333,Swablu,Cobblemon,"Windswept Hills, Windswept Forest, Snowy Slopes,
Jagged Peaks, Stony Peaks",Common,Y > 190,
#334,Altaria,Cobblemon,"Windswept Hills, Windswept Forest, Snowy Slopes,
Jagged Peaks, Stony Peaks",Uncommon,Y > 190,
#335,Zangoose,ATM x MSD,All Plains biomes,Uncommon,,
#336,Seviper,ATM x MSD,"Desert, Badlands",Uncommon,,
#337,Lunatone,Cobblemon,"Dripstone Caves, Meadow, Grove, Snowy Slopes,
Jagged Peaks, Frozen Peaks, Stony Peaks",Common,Night,
#338,Solrock,Cobblemon,"Dripstone Caves, Meadow, Grove, Snowy Slopes,
Jagged Peaks, Frozen Peaks, Stony Peaks",Common,Day,
#339,Barboach,Cobblemon,"Swamp, Mangrove Swamp",Common,"Also by fishing in River, Jungle, Bamboo Jungle
Desert, Mushroom Fields",
#340,Whiscash,Cobblemon,"Swamp, Mangrove Swamp",Common,"Also by fishing in River, Jungle, Bamboo Jungle
Desert, Mushroom Fields",
#341,Corphish,Cobblemon,"River, Swamp, Mangrove Swamp",Common,"Also by fishing in: Jungle, Bamboo Jungle, Desert, Badlands, Plains, Birch Forest Oak Forest",
#342,Crawdaunt,Cobblemon,"River, Swamp, Mangrove Swamp",Common,"Also by fishing in: Jungle, Bamboo Jungle, Desert, Badlands, Plains, Birch Forest Oak Forest",
#343,Baltoy,Cobblemon,"Badlands, Desert",Common,,
#344,Claydol,Cobblemon,"Badlands, Desert",Uncommon,,
#345,Lileep,Cobblemon,Lush Caves,Ultra-Rare,,
#346,Cradily,Cobblemon,Lush Caves,Ultra-Rare,,
#347,Anorith,Cobblemon,"Fossil: Dripstone Oasis, Frozen Spike, Mossy Pond, Preserved Skeleton, Submerged Impact, Submerged Spike, Underwater Fissure",Ultra-Rare,"Suspicious Sand/Gravel.
Use Resurrection Machine",Can Also be found wild in the Lush Caves
#348,Armaldo,Cobblemon,Anorith’s Evolution,Ultra-Rare,,Can Also be found wild in the Lush Caves
#349,Feebas,Cobblemon,All Ocean biomes,Ultra-Rare,Only Fishing in a Slime chunk,
#350,Milotic,Cobblemon,All Ocean biomes,Ultra-Rare,Only Fishing in a Slime chunk,
#351,Castform,Mega Showdown,"Forecast Plains, Sunflower Plains, Beach (Rain)
Forecast Snowy: Frozen River, Jagged Peaks, Snowy Beach, Snowy Plains, Snowy Slopes (Weather Clear)
Forecast Sunny: Desert, Savanna, Savanna Plateau (Day)",Uncommon,,Normal: All Overworld biome
#352,Kecleon,Cobblemon,"Jungle, Sparse Jungle, Bamboo Jungle",Uncommon,,
#353,Shuppet,Cobblemon,"Deep Dark, Dark Forest",Common,Night,
#354,Banette,Cobblemon,"Deep Dark, Dark Forest",Uncommon,MinY=2,
#355,Duskull,Cobblemon,"Dark Forest, Soul Sand Valley",Common,Night,
#356,Dusclops,Cobblemon,"Dark Forest, Soul Sand Valley",Common,Night,
#357,Tropius,Cobblemon,"Jungle, Sparse Jungle, Bamboo Jungle",Uncommon,Day,
#358,Chimecho,Cobblemon,"Oak Forest, Birch Forest, Dark Forest, Jagged Peaks, Stony Peaks, Meadow, Cherry Grove, Taiga, Snowy Taiga",Uncommon,Night,
#359,Absol,Cobblemon,"Snowy Taiga, Grove, Meadow, Grove, Snowy Slopes, Snowy Plains,
Jagged Peaks, Frozen Peaks, Stony Peaks, All Taiga biomes",Rare,Day,
#360,Wynaut,Cobblemon,"Plains, Sunflower Plains",Rare,,
#361,Snorunt,Mega Showdown,"Snowy Plains, Snowy Taiga (Night)
Ice Spikes (Day)",Uncommon,More common near minecraft igloo (Night),
#362,Glalie,Mega Showdown,"Ice Spikes, Frozen Peaks (Day, Weather Clear) Snowy Taiga (Night, MinY=0)",Uncommon,,
#363,Spheal,Cobblemon,"Frozen Ocean, Deep Frozen Ocean",Common,"Also by fishing in: Deep Cold Ocean, Cold Ocean",
#364,Sealeo,Cobblemon,"Frozen Ocean, Deep Frozen Ocean",Common,"Also by fishing in: Deep Cold Ocean, Cold Ocean",
#365,Walrein,Cobblemon,"Frozen Ocean, Deep Frozen Ocean",Common,"Also by fishing in: Deep Cold Ocean, Cold Ocean",
#366,Clamperl,Cobblemon,"Deep Ocean,Deep Frozen Ocean, Deep Cold Ocean, Deep Lukewarm Ocean (MaxY=48)
Warm Ocean",Uncommon/Rare,"Also by fishing in: Ocean, Cold Ocean, Frozen Ocean, Lukewarm Ocean, Warm Ocean",
#367,Huntail,Cobblemon,"Deep Ocean,Deep Frozen Ocean, Deep Cold Ocean, Deep Lukewarm Ocean (MaxY=48)
Warm Ocean",Uncommon/Rare,"Also by fishing in: Ocean, Cold Ocean, Frozen Ocean, Lukewarm Ocean, Warm Ocean",
#368,Gorebyss,Cobblemon,"Deep Ocean,Deep Frozen Ocean, Deep Cold Ocean, Deep Lukewarm Ocean (MaxY=48)
Warm Ocean",Uncommon/Rare,"Also by fishing in: Ocean, Cold Ocean, Frozen Ocean, Lukewarm Ocean, Warm Ocean",
#369,Relicanth,Cobblemon,"Deep Ocean, Deep Frozen Ocean, Deep Cold Ocean, Deep Lukewarm Ocean (MaxY=48)",Uncommon,"Also by fishing in: Ocean, Warm Ocean. Lukewarm Ocean, Cold Ocean",
#370,Luvdisc,Cobblemon,Warm Ocean (Day),Common,Also by fishing,
#371,Bagon,Cobblemon,"Stony Peaks, Jagged Peaks (Day) Dripstone Caves (Night)",Ultra-Rare,,
#372,Shelgon,Cobblemon,Dripstone Caves,Ultra-Rare,,
#373,Salamence,Cobblemon,"Stony Peaks, Dripstone Caves",Ultra-Rare,,
#374,Beldum,Cobblemon,"Stony Peaks, Jagged Peaks, Frozen Peaks, Dripstone Caves, All End biomes",Ultra-Rare,,
#375,Metang,Cobblemon,"Stony Peaks, Jagged Peaks, Frozen Peaks, Dripstone Caves, All End biomes",Ultra-Rare,,
#376,Metagross,Cobblemon,"Stony Peaks, Jagged Peaks, Frozen Peaks, Dripstone Caves, All End biomes",Ultra-Rare,,
#377,Regirock,Cobblemon,Lush Desert,Ultra-Rare,"Structure: Regirock temple
(COBBLEVERSE)",Need Pebble Relic
#378,Regice,Cobblemon,Snowy Badlands,Ultra-Rare,"Structure: Regice temple
(COBBLEVERSE)",Need Cryo Relic
#379,Registeel,Cobblemon,Alphine Highlands,Ultra-Rare,"Structure: Registeel temple
(COBBLEVERSE)",Need Metal Relic
#380,Latias,Cobblemon,Deep Lukewarm Ocean,Ultra-Rare,"Structure:
Secret Garden
(COBBLEVERSE)",Need Ruby Dew
#381,Latios,Cobblemon,Plains,Ultra-Rare,"Structure:
Secret Garden
(COBBLEVERSE)",Need Sapphire Dew
#382,Kyogre,Mega Showdown,Deep Cold Ocean,Ultra-Rare,"Structure: Submerged in its Temple
(COBBLEVERSE)",Need Ocean Core
#383,Groudon,Mega Showdown,Deep Warm Ocean,Ultra-Rare,"Structure: Volcano
(COBBLEVERSE)",Need Earth Core
#384,Rayquaza,Mega Showdown,Deep Ocean,Ultra-Rare,"Structure: Sky Pillar
(COBBLEVERSE)",Need Sky Core
#385,Jirachi,ATM x MSD,Blooming Plateau,Ultra-Rare,"Structure: Wish Cave
(COBBLEVERSE)",Need Melodic Tape (Vol. 1)
#386,Deoxys,ATM x MSD,The End,Ultra-Rare,"Structure: Deoxys Meteorite
(COBBLEVERSE)",Need Meteorite Crystal
#387,Turtwig,Cobblemon,"Oak Forest, Birch Forest, Flower Forest",Ultra-Rare,,
#388,Grotle,Cobblemon,"Oak Forest, Birch Forest, Flower Forest",Ultra-Rare,,
#389,Torterra,Cobblemon,"Oak Forest, Birch Forest, Flower Forest",Ultra-Rare,,
#390,Chimchar,Cobblemon,"Cherry Grove, Stony Peaks, Crimson Forest, Warped Forest",Ultra-Rare,"Day, Weather Clear",
#391,Monferno,Cobblemon,"Cherry Grove,S tony Peaks, Crimson Forest, Warped Forest",Ultra-Rare,"Day, Weather Clear",
#392,Infernape,Cobblemon,"Cherry Grove, Stony Peaks, Crimson Forest, Warped Forest",Ultra-Rare,,
#393,Piplup,Cobblemon,"Frozen Ocean, Deep Frozen Ocean",Ultra-Rare,"Also by fishing in: Frozen River, Ice Spikes, Snowy Plains",
#394,Prinplup,Cobblemon,"Frozen Ocean, Deep Frozen Ocean",Ultra-Rare,"Also by fishing in: Frozen River, Ice Spikes, Snowy Plains",
#395,Empoleon,Cobblemon,"Frozen Ocean, Deep Frozen Ocean",Ultra-Rare,"Also by fishing in: Frozen River, Ice Spikes, Snowy Plains",
#396,Starly,Cobblemon,"Windswept Hills, Windswept Forest, Windswept Gravelly Hills, Snowy Taiga, Taiga",Common,Day,
#397,Staravia,Cobblemon,"Windswept Hills, Windswept Forest, Windswept Gravelly Hills, Snowy Taiga, Taiga",Common,Day,
#398,Staraptor,Cobblemon,"Windswept Hills, Windswept Forest, Windswept Gravelly Hills, Snowy Taiga, Taiga",Common,Day,
#399,Bidoof,Cobblemon,"River, Oak Forest, Birch Forest, Dark Forest, Taiga, Grove",Common,"Also by fishing in: Frozen River, Snowy Taiga",
#400,Bibarel,Cobblemon,"River, Oak Forest, Birch Forest, Dark Forest, Taiga, Grove",Common,"Also by fishing in: Frozen River, Snowy Taiga",
#401,Kricket,Cobblemon,"Oak Forest, Birch Forest, Dark Forest, Sunflower Forest, Swamp,
Mangrove Swamp",Common,Night,
#402,Kricketune,Cobblemon,"Oak Forest, Birch Forest, Dark Forest, Sunflower Forest, Swamp,
Mangrove Swamp",Common,Night,
#403,Shinx,Cobblemon,"Desert, Savanna, Savanna Plateau",Uncommon,Day,
#404,Luxio,Cobblemon,"Desert, Savanna, Savanna Plateau",Uncommon,Day,
#405,Luxray,Cobblemon,"Desert, Savanna, Savanna Plateau",Uncommon,Day,
#406,Budew,Cobblemon,"Cherry Grove, Flower Forest, Meadow,
Sunflower Plains",Common,Day,
#407,Roserade,Cobblemon,"Cherry Grove, Flower Forest, Meadow,
Sunflower Plains",Common,Day,
#408,Cranidos,Cobblemon,"Fossil: Birch Tree, Mossy Pond, Mud Pit, Oak Tree, Suspicious Mound",Ultra-Rare,"Suspicious sand/gravel.
Use Resurrection Machine",Can also be found wild in the Lush Caves.
#409,Rampardos,Cobblemon,Evolution from Cranidos,Ultra-Rare,,Can also be found wild in the Lush Caves.
#410,Shieldon,Cobblemon,"Fossil: Eroded Pillar, Lush Den, Mud Pit,
Powdered Deposit, Sandy Den, Sunscorched Den",Ultra-Rare,"Suspicious sand/gravel
Resurrection Machine",Can also be found wild in the Lush Caves.
#411,Bastiodon,Cobblemon,Evolution from Shieldon,Ultra-Rare,,Can also be found wild in the Lush Caves.
#412,Burmy,"Mega
Showdown","Sandy-Form: Desert, Badlands
Trash-Form: Cherry Grove, Flower Forest, Meadow, Sunflower Plains
Plant-
Form: Birch Forest Oak Forest, Dark Oak Forest, Plains, Sunflower Plains",Common,,
#413,Wormadam,"Mega
Showdown","Sandy-Form: Desert, Badlands
Trash-Form: Cherry Grove, Flower Forest, Meadow, Sunflower Plains
Plant-
Form: Birch Forest Oak Forest, Dark Oak Forest, Plains, Sunflower Plains",Uncommon,,
#414,Mothim,"Mega
Showdown","Birch Forest, Old Growth Birch Forest, Dark Oak Forest, Oak Forest, Flower Forest",Rare,,
#415,Combee,Cobblemon,"Birch Forest, Old Growth Birch Forest, Dark Oak Forest, Oak Forest, Flower Forest, plains, Cherry Grove, Sunflwoer Plains",Common,"Day

More common near beehives",
#416,Vespiquen,Cobblemon,"Birch Forest, Old Growth Birch Forest, Dark Oak Forest, Oak Forest, Flower Forest, Plains, Cherry Grove, Sunflwoer Plains",Common,"Day

More common near beehives",
#417,Pachirisu,Cobblemon,"Birch Forest, Old Growth Birch Forest, Oak Forest, Flower Forest",Uncommon,Storm,
#418,Buizel,Cobblemon,River,Common,"Also Fishing in: Birch Forest, Old Growth Birch Forest, Oak Forest, Flower Forest, Dark Oak Forest, Jungle, Sparse Jungle, Bamboo Jungle, Taiga, Windswept Hills, Windswept Gravelly hills",
#419,Floatzel,Cobblemon,River,Common,"Also Fishing in: Birch Forest, Old Growth Birch Forest, Oak Forest, Flower Forest, Dark Oak Forest, Jungle, Sparse Jungle, Bamboo Jungle, Taiga, Windswept Hills, Windswept Gravelly hills",
#420,Cherubi,"Mega
Showdown","Birch Forest, Old Growth Birch Forest, Dark Oak Forest, Oak Forest, Flower Forest,, Taiga, Jungle, Bamboo Jungle, Sparse Jungle",Common,,
#421,Cherrim,"Mega
Showdown","Birch Forest, Old Growth Birch Forest, Dark Oak Forest, Oak Forest, Flower Forest,, Taiga, Jungle, Bamboo Jungle, Sparse Jungle",Common,,
#422,Shellos,Cobblemon,"East Form: Snowy Beach, Coild Ocean, Deep Cold Ocean, Frozen Ocean Deep Frozen Ocean
West Form: Warm Ocean,
Lukewarm Ocean, Deep Lukewarm Ocean, Beach",Uncommon,Also Fishing in same biomes,
#423,Gastrodon,Cobblemon,"East Form: Snowy Beach, Coild Ocean, Deep Cold Ocean, Frozen Ocean Deep Frozen Ocean
West Form: Warm Ocean,
Lukewarm Ocean, Deep Lukewarm Ocean, Beach",Uncommon,Also Fishing in same biomes,
#424,Ambipom,Cobblemon,"Jungle, Sparse Jungle, Bamboo Jungle",Common,,
#425,Drifloon,Cobblemon,"All Overworld biomes except Desert, Savanna,
Savanna Plateau, Frozen River, Jagged Peaks,
Snowy Beach, Snowy Plains,
Snowy Slopes",Uncommon,"Night, Weather clear",
#426,Drifblim,Cobblemon,"All Overworld biomes except Desert, Savanna,
Savanna Plateau, Frozen River, Jagged Peaks,
Snowy Beach, Snowy Plains,
Snowy Slopes",Uncommon,"Night, Weather clear",
#427,Buneary,Cobblemon,"Birch Forest, Old Growth Birch Forest, Dark Oak Forest, Oak Forest, Flower Forest, Windswept Hills, Windswept Gravelly Hills, Taiga,
Snowy Taiga",Common,Day,
#428,Lopunny,Cobblemon,"Birch Forest, Old Growth Birch Forest, Dark Oak Forest, Oak Forest, Flower Forest, Windswept Hills, Windswept Gravelly Hills, Taiga,
Snowy Taiga",Common,Day,
#429,Mismagius,Cobblemon,"Dark Forest, Swamp, Mangrove Swamp, Warped Forest",Common,Night,
#430,Honchkrow,Cobblemon,"Dark Forest, Swamp, Mangrove Swamp, Taiga,
Snowy Taiga",Common,,
#431,Glameow,ATM x MSD,"Plains, Sunflower Plains, Meadow, Savanna, Badlands, desert Snowy Plains, Ice Spikes, Frozen Peaks, Snowy Taiga",Common,Night,
#432,Purugly,ATM x MSD,"Plains, Sunflower Plains, Meadow, Savanna, Badlands, desert Snowy Plains, Ice Spikes, Frozen Peaks, Snowy Taiga",Uncommon,Night,
#433,Chingling,Cobblemon,"Birch Forest, Old Growth Birch Forest, Dark Oak Forest, Oak Forest, Taiga, Snowy Taiga, Old
Growth Taiga, Windswept Hills, Windswept Gravelly Hills",Uncommon,Night,
#434,Stunky,ATM x MSD,"Swamp, Mangrove Swamp",Common,Night,
#435,Skuntank,ATM x MSD,"Swamp, Mangrove Swamp",Uncommon,Night,
#436,Bronzor,Cobblemon,"Jungle, Bamboo Jungle, Sparse Jungle, Jagged Peaks, Frozen Peaks, Stony Peaks (MinY=0)",Uncommon,"Night

More common inside jungle pyramid, ruins and trial ruins (MinY=48)",
#437,Bronzong,Cobblemon,"Jungle, Bamboo Jungle, Sparse Jungle, Jagged Peaks, Frozen Peaks, Stony Peaks (MinY=0)",Uncommon,"Night

More common inside jungle pyramid, ruins and trial ruins (MinY=48)",
#438,Bonsly,Cobblemon,"Birch Forest, Old Growth Birch Forest, Oak Forest, Flower Forest",Uncommon,"Day, Weather Clear",
#439,Mime Jr.,Cobblemon,"All Overworld biomes except Frozen River,
Jagged Peaks, Snowy Beach, Snowy Plains,
Snowy Slopes",Uncommon,Common in villages,"Galarian form spawns in Frozen River, Jagged Peaks, Snowy Beach,Snowy Plains,Snowy Slopes"
#440,Happiny,Cobblemon,All Overworld biomes,Rare,More common in villages,
#441,Chatot,Cobblemon,"Jungle, Bamboo Jungle, Sparse Jungle",Uncommon,Day,
#442,Spiritomb,Cobblemon,"Deep Dark, Jungle, Desert",Rare,"Structure: Ancient City, Jungle Pyramid (MinY=48)
Cobblemon Ruin (MinY=48)",
#443,Gible,Cobblemon,"Badlands, Eroded Badlands, Jagged Peaks, Frozen Peaks, Snowy Slopes
Stony Peaks",Ultra-Rare,"(Night, Y > 0)",
#444,Gabite,Cobblemon,"Badlands, Eroded Badlands, Jagged Peaks, Frozen Peaks, Snowy Slopes
Stony Peaks",Ultra-Rare,"(Night, Y > 0)",
